match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
2,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
3,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
4,raspberry,2,1,3,1,2,mixed_composition,mixed_composition
5,raspberry,2,1,3,1,2,mixed_composition,mixed_composition
6,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
7,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
8,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
9,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
10,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
11,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
12,blueberry,0,2,2,1,2,swarm_focus,mixed_composition
13,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
14,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
15,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
16,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
17,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
18,blueberry,0,2,2,1,2,swarm_focus,mixed_composition
19,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
20,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
21,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
22,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
23,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
24,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
25,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
26,blueberry,1,2,3,2,2,mixed_composition,mixed_composition
27,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
28,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
29,raspberry,2,1,3,1,2,mixed_composition,mixed_composition
30,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
31,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
32,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
33,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
34,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
35,raspberry,2,0,2,1,2,mixed_composition,mixed_composition
36,raspberry,2,0,2,2,1,mixed_composition,mixed_composition
37,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
38,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
39,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
40,raspberry,2,1,3,1,2,mixed_composition,mixed_composition
41,blueberry,1,2,3,1,3,mixed_composition,mixed_composition
42,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
43,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
44,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
45,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
46,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
47,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
48,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
49,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
50,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
51,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
52,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
53,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
54,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
55,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
56,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
57,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
58,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
59,blueberry,1,2,3,1,3,mixed_composition,mixed_composition
60,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
61,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
62,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
63,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
64,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
65,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
66,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
67,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
68,raspberry,2,0,2,1,2,mixed_composition,mixed_composition
69,blueberry,0,2,2,1,3,mixed_composition,mixed_composition
70,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
71,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
72,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
73,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
74,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
75,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
76,blueberry,1,2,3,1,3,mixed_composition,mixed_composition
77,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
78,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
79,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
80,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
